chestcircumference,waistcircumference,SizeShirt
922,850,L
839,708,M
874,727,M
1008,923,L
1089,1163,XL
1031,968,XL
988,964,L
968,914,L
831,755,M
1010,944,L
1065,935,XL
1034,942,XL
1063,995,XL
937,848,L
989,929,L
940,835,L
835,772,M
897,805,M
979,868,L
853,792,M
1090,1137,XL
941,881,L
857,702,M
973,954,L
975,796,L
1026,1000,XL
832,742,M
921,912,L
1032,913,XL
904,821,M
951,930,L
950,901,L
965,935,L
1115,1077,XL
1170,1112,XXL
895,812,M
944,869,L
833,712,M
1025,1057,XL
982,964,L
1060,1134,XL
991,869,L
994,942,L
1071,1019,XL
945,865,L
1094,975,XL
932,814,L
1013,947,L
910,794,M
793,679,S
954,890,L
1161,1334,XXL
1135,1076,XXL
1095,1007,XL
1014,897,L
946,832,L
814,766,M
940,878,L
988,943,L
904,825,M
876,812,M
1090,1062,XL
943,914,L
1132,987,XXL
977,868,L
977,839,L
1006,814,L
936,804,L
1065,925,XL
890,805,M
900,811,M
862,757,M
896,839,M
943,821,L
1092,1001,XL
920,860,L
1071,922,XL
1001,1012,L
1126,981,XXL
982,870,L
1069,931,XL
1061,895,XL
1031,925,XL
924,751,M
999,1019,L
865,784,M
998,917,L
930,865,L
934,847,L
856,785,M
979,1004,L
852,759,M
1014,955,L
841,694,M
1057,1068,XL
986,948,L
951,912,L
1068,989,XL
945,887,L
826,698,M
978,822,L
978,885,L
870,764,M
1080,943,XL
921,809,L
846,739,M
959,826,L
1022,962,XL
878,849,M
1029,951,XL
936,889,L
834,790,M
931,811,L
981,831,L
1037,958,XL
981,761,M
1052,1070,XL
1028,923,XL
946,949,L
930,858,L
937,859,L
810,721,S
991,908,L
985,880,L
844,759,M
965,919,L
985,908,L
862,731,M
863,820,M
870,821,M
815,740,M
1057,1024,XL
1137,932,XXL
874,827,M
1004,896,L
844,738,M
950,832,L
1013,851,L
960,859,L
992,906,L
1069,1028,XL
838,786,M
962,853,L
899,745,M
828,737,M
940,802,L
1156,1045,XXL
886,763,M
991,955,L
899,719,M
889,746,M
907,874,M
940,772,L
949,802,L
866,719,M
907,862,M
983,1044,L
895,817,M
892,817,M
875,816,M
1012,939,L
1026,863,XL
977,915,L
812,764,M
913,899,M
943,782,L
1032,897,XL
878,817,M
971,900,L
906,830,M
1024,947,XL
1028,958,XL
881,767,M
919,777,L
918,896,L
1118,968,XXL
1130,997,XXL
1002,879,L
1039,1000,XL
934,931,L
844,748,M
821,734,M
1072,1021,XL
1084,874,XL
918,803,L
1032,935,XL
971,810,L
1022,882,XL
987,920,L
1036,1085,XL
990,923,L
965,840,L
817,783,M
993,924,L
1031,972,XL
877,774,M
818,708,M
945,879,L
916,830,L
1050,980,XL
881,883,M
912,754,M
854,767,M
887,868,M
1005,938,L
825,682,S
874,762,M
972,802,L
1026,1060,XL
979,922,L
873,783,M
844,707,M
921,795,L
1000,862,L
938,929,L
952,858,L
931,784,L
814,632,XS
913,809,M
950,912,L
950,941,L
915,854,L
923,885,L
909,783,M
986,927,L
870,785,M
942,858,L
1105,958,XL
838,707,M
1086,1004,XL
985,905,L
960,989,L
964,906,L
1015,854,L
862,738,M
861,784,M
927,871,L
906,811,M
847,728,M
841,763,M
855,793,M
1072,1001,XL
988,922,L
984,829,L
938,850,L
866,731,M
1063,996,XL
949,871,L
982,1036,L
935,835,L
845,665,S
836,671,S
949,769,L
954,850,L
940,936,L
915,758,M
925,888,L
1032,941,XL
988,812,L
838,704,M
992,1027,L
969,885,L
957,872,L
1093,1041,XL
997,859,L
1090,1022,XL
923,790,L
844,711,M
1011,941,L
997,1076,L
943,797,L
934,904,L
1031,979,XL
985,888,L
935,769,L
872,807,M
996,839,L
994,975,L
1131,1127,XXL
966,930,L
908,907,M
985,919,L
896,839,M
864,697,M
1095,1088,XL
890,805,M
965,844,L
958,915,L
926,862,L
878,835,M
951,1000,L
858,789,M
870,777,M
875,796,M
1139,1017,XXL
1064,1074,XL
923,688,M
861,713,M
1057,1035,XL
896,827,M
991,950,L
904,805,M
981,896,L
1046,905,XL
952,833,L
1067,1055,XL
1105,1071,XL
1196,1111,XXXL
999,871,L
1052,969,XL
1014,942,L
1048,964,XL
896,887,M
943,838,L
899,826,M
996,950,L
911,819,M
1005,920,L
873,744,M
976,880,L
834,740,M
986,829,L
1062,1029,XL
1004,973,L
896,845,M
861,828,M
951,1020,L
772,675,S
1034,1007,XL
899,858,M
955,804,L
867,811,M
971,864,L
966,871,L
800,824,S
812,724,M
946,849,L
1008,918,L
971,829,L
918,799,L
987,1017,L
969,900,L
979,917,L
1017,970,XL
1058,884,XL
887,796,M
859,785,M
980,870,L
1037,905,XL
984,958,L
959,855,L
988,869,L
900,875,M
827,722,M
1089,1034,XL
895,757,M
1024,995,XL
948,812,L
1131,954,XXL
988,928,L
1098,1049,XL
1033,958,XL
960,912,L
955,822,L
1023,935,XL
1000,957,L
866,707,M
881,771,M
950,806,L
1020,1002,XL
1159,1044,XXL
866,815,M
908,752,M
883,831,M
993,880,L
920,817,L
1122,938,XXL
829,797,M
925,773,L
1096,1103,XL
862,679,S
