stature,weightkg,SizeShirt
177.0,81.0,L
170.0,72.0,M
173.0,92.0,L
165.0,79.0,M
191.0,94.0,XXL
172.0,80.0,M
181.0,116.0,XXL
185.0,95.0,XL
177.0,99.0,XL
181.0,70.0,L
178.0,88.0,L
173.0,70.0,M
181.0,103.0,XXL
186.0,111.0,XXL
170.0,89.0,L
174.0,92.0,L
169.0,77.0,M
176.0,96.0,XL
174.0,76.0,M
179.0,90.0,L
178.0,71.0,M
168.0,74.0,M
165.0,79.0,M
195.0,91.0,XXL
175.0,96.0,XL
163.0,67.0,S
182.0,107.0,XXL
179.0,79.0,M
174.0,78.0,M
181.0,88.0,L
188.0,71.0,XL
176.0,94.0,L
167.0,66.0,S
185.0,87.0,XL
178.0,67.0,M
179.0,88.0,L
168.0,69.0,M
185.0,121.0,XXXL
173.0,71.0,M
174.0,88.0,L
174.0,57.0,S
167.0,87.0,L
183.0,85.0,L
173.0,86.0,L
176.0,95.0,L
166.0,66.0,S
174.0,70.0,M
170.0,84.0,L
187.0,101.0,XXL
167.0,85.0,L
177.0,109.0,XXL
184.0,83.0,L
163.0,72.0,M
175.0,98.0,XL
170.0,77.0,M
184.0,140.0,XXXL
178.0,67.0,M
174.0,88.0,L
170.0,98.0,XL
185.0,95.0,XL
160.0,56.0,S
170.0,71.0,M
183.0,71.0,L
167.0,80.0,M
174.0,98.0,XL
169.0,66.0,S
167.0,80.0,M
185.0,105.0,XXL
175.0,68.0,S
161.0,74.0,M
177.0,73.0,M
170.0,60.0,S
161.0,77.0,M
172.0,76.0,M
184.0,102.0,XXL
174.0,96.0,XL
167.0,92.0,L
175.0,98.0,XL
181.0,88.0,L
179.0,98.0,XL
175.0,85.0,L
172.0,74.0,M
180.0,92.0,L
179.0,74.0,M
172.0,82.0,L
157.0,62.0,S
171.0,77.0,M
179.0,88.0,L
174.0,59.0,S
170.0,73.0,M
173.0,86.0,L
173.0,86.0,L
178.0,73.0,M
181.0,65.0,L
184.0,69.0,L
179.0,77.0,M
165.0,72.0,M
170.0,79.0,M
178.0,74.0,M
175.0,96.0,XL
179.0,86.0,L
175.0,74.0,M
179.0,92.0,L
178.0,81.0,L
183.0,64.0,L
188.0,95.0,XL
173.0,85.0,L
173.0,90.0,L
181.0,83.0,L
168.0,85.0,L
181.0,89.0,L
181.0,87.0,L
167.0,82.0,L
183.0,111.0,XXL
179.0,98.0,XL
184.0,110.0,XXL
168.0,78.0,M
175.0,86.0,L
184.0,141.0,XXXL
165.0,78.0,M
163.0,69.0,M
173.0,79.0,M
172.0,69.0,M
187.0,121.0,XXXL
188.0,87.0,XL
176.0,70.0,M
179.0,82.0,L
184.0,99.0,XL
181.0,76.0,L
173.0,98.0,XL
166.0,75.0,M
178.0,89.0,L
174.0,78.0,M
175.0,83.0,L
181.0,99.0,XL
171.0,74.0,M
184.0,96.0,XL
181.0,91.0,L
178.0,108.0,XXL
174.0,78.0,M
179.0,94.0,L
175.0,90.0,L
184.0,106.0,XXL
165.0,87.0,L
177.0,87.0,L
185.0,115.0,XXL
168.0,79.0,M
177.0,88.0,L
182.0,86.0,L
193.0,80.0,XXL
178.0,96.0,XL
181.0,109.0,XXL
178.0,77.0,M
172.0,95.0,L
191.0,111.0,XXL
180.0,89.0,L
178.0,106.0,XXL
177.0,95.0,L
166.0,72.0,M
180.0,87.0,L
187.0,97.0,XL
173.0,97.0,XL
183.0,95.0,L
179.0,112.0,XXL
172.0,90.0,L
171.0,94.0,L
180.0,95.0,L
166.0,73.0,M
180.0,103.0,XXL
170.0,77.0,M
195.0,108.0,XXL
173.0,84.0,L
177.0,96.0,XL
172.0,70.0,M
170.0,70.0,M
183.0,85.0,L
170.0,86.0,L
180.0,97.0,XL
177.0,82.0,L
173.0,84.0,L
174.0,72.0,M
165.0,89.0,L
172.0,75.0,M
186.0,73.0,XL
171.0,70.0,M
175.0,78.0,M
191.0,116.0,XXL
184.0,79.0,L
185.0,90.0,XL
171.0,67.0,S
164.0,85.0,L
183.0,85.0,L
178.0,103.0,XXL
177.0,103.0,XXL
170.0,72.0,M
180.0,71.0,M
171.0,67.0,S
184.0,78.0,L
171.0,90.0,L
175.0,84.0,L
193.0,108.0,XXL
173.0,75.0,M
177.0,83.0,L
172.0,87.0,L
167.0,72.0,M
171.0,110.0,XXL
182.0,94.0,L
191.0,114.0,XXL
175.0,90.0,L
173.0,84.0,L
172.0,81.0,L
171.0,86.0,L
171.0,68.0,S
171.0,68.0,S
174.0,94.0,L
156.0,47.0,XS
189.0,115.0,XXL
173.0,72.0,M
186.0,107.0,XXL
165.0,54.0,XS
163.0,85.0,L
173.0,87.0,L
181.0,107.0,XXL
173.0,79.0,M
181.0,109.0,XXL
173.0,115.0,XXL
168.0,86.0,L
174.0,75.0,M
178.0,83.0,L
178.0,81.0,L
164.0,84.0,L
174.0,94.0,L
166.0,64.0,S
180.0,112.0,XXL
174.0,90.0,L
160.0,71.0,M
183.0,97.0,XL
181.0,81.0,L
173.0,75.0,M
184.0,79.0,L
177.0,64.0,S
179.0,107.0,XXL
166.0,87.0,L
175.0,98.0,XL
181.0,89.0,L
183.0,108.0,XXL
162.0,77.0,M
164.0,80.0,M
172.0,87.0,L
160.0,56.0,S
186.0,117.0,XXL
176.0,86.0,L
175.0,97.0,XL
174.0,77.0,M
165.0,55.0,XS
166.0,53.0,S
167.0,93.0,L
173.0,86.0,L
175.0,109.0,XXL
170.0,67.0,S
174.0,71.0,M
181.0,91.0,L
178.0,87.0,L
166.0,70.0,M
178.0,111.0,XXL
180.0,108.0,XXL
166.0,63.0,S
183.0,96.0,XL
188.0,105.0,XXL
178.0,88.0,L
