stature,weightkg,SizeShirt
156.0,65.0,L
166.0,53.0,XL
171.0,66.0,XXL
166.0,78.0,XL
157.0,88.0,XXL
170.0,83.0,XXL
164.0,73.0,L
167.0,76.0,XL
152.0,54.0,M
159.0,68.0,L
170.0,99.0,XXXL
166.0,74.0,XL
165.0,78.0,XL
166.0,71.0,XL
159.0,70.0,L
167.0,67.0,XL
164.0,62.0,L
167.0,59.0,XL
167.0,74.0,XL
161.0,60.0,L
151.0,80.0,XL
167.0,74.0,XL
162.0,49.0,L
166.0,70.0,XL
164.0,71.0,L
157.0,70.0,L
144.0,48.0,S
162.0,69.0,L
168.0,73.0,XL
161.0,61.0,L
159.0,65.0,L
165.0,70.0,L
172.0,72.0,XXL
167.0,84.0,XXL
165.0,94.0,XXXL
163.0,62.0,L
168.0,57.0,XL
155.0,52.0,M
161.0,73.0,L
158.0,79.0,XL
164.0,89.0,XXL
168.0,68.0,XL
165.0,75.0,L
160.0,73.0,L
160.0,74.0,L
166.0,80.0,XL
161.0,71.0,L
162.0,71.0,L
172.0,65.0,XXL
158.0,47.0,L
172.0,69.0,XXL
172.0,119.0,XXXL
170.0,88.0,XXL
162.0,75.0,L
153.0,67.0,L
154.0,60.0,M
165.0,57.0,L
160.0,68.0,L
163.0,71.0,L
161.0,60.0,L
175.0,69.0,XXL
167.0,85.0,XXL
163.0,61.0,L
163.0,79.0,XL
168.0,67.0,XL
166.0,69.0,XL
159.0,66.0,L
159.0,57.0,L
166.0,81.0,XXL
161.0,61.0,L
155.0,64.0,L
157.0,55.0,L
158.0,61.0,L
169.0,66.0,XL
155.0,73.0,L
175.0,73.0,XXL
156.0,69.0,L
165.0,75.0,L
158.0,74.0,L
165.0,68.0,L
171.0,86.0,XXL
182.0,88.0,XXXL
164.0,78.0,XL
168.0,62.0,XL
169.0,78.0,XL
153.0,60.0,M
158.0,67.0,L
160.0,68.0,L
164.0,67.0,L
154.0,63.0,L
160.0,77.0,XL
164.0,55.0,L
162.0,72.0,L
166.0,59.0,XL
174.0,99.0,XXXL
149.0,58.0,M
149.0,64.0,L
164.0,75.0,L
160.0,68.0,L
156.0,47.0,L
162.0,66.0,L
167.0,68.0,XL
161.0,57.0,L
158.0,64.0,L
173.0,59.0,XXL
150.0,45.0,M
151.0,57.0,M
157.0,72.0,L
162.0,67.0,L
158.0,71.0,L
173.0,79.0,XXL
157.0,53.0,L
162.0,63.0,L
160.0,62.0,L
167.0,78.0,XL
164.0,59.0,L
153.0,75.0,L
157.0,68.0,L
163.0,66.0,L
162.0,61.0,L
173.0,74.0,XXL
152.0,52.0,M
173.0,76.0,XXL
