chestcircumference,waistcircumference,SizeShirt
1074,933,L
1021,870,M
1120,964,L
1114,857,L
1048,868,M
1066,950,L
1208,1073,XL
1087,1010,L
1181,1065,XL
964,824,S
1117,994,L
961,866,S
1151,986,L
1231,1045,XXL
1060,1007,M
1092,1033,L
1085,908,L
1118,1028,L
999,874,M
1127,999,L
1000,837,M
977,880,M
1079,978,L
1011,827,M
1098,1030,L
957,885,S
1158,1130,L
964,912,S
971,864,M
1057,965,M
957,777,S
1108,1063,L
947,870,S
1043,966,M
965,806,S
1174,1096,XL
951,895,S
1182,1214,XL
981,790,S
1086,1002,L
865,748,XS
1205,1043,XL
1013,864,M
1152,969,L
1096,1095,L
957,770,S
985,840,M
1063,1028,M
1137,1021,L
1106,1061,L
1166,1139,L
1081,922,L
1006,995,M
1153,1047,L
1037,885,M
1469,1379,XXXL
901,750,XS
1071,970,L
1263,1068,XXL
1146,1012,L
858,754,XS
1044,926,M
904,827,S
1033,940,M
1160,1133,L
971,843,M
1050,1021,M
1213,1061,XL
944,786,S
989,855,M
975,830,M
939,743,XS
1091,967,L
983,922,M
1129,1120,L
1205,1060,XL
1123,1030,L
1129,974,L
1048,844,M
1063,969,M
1098,1010,L
972,892,M
1127,1032,L
963,851,S
1098,979,L
953,857,S
1024,979,M
1043,984,M
902,721,XS
1008,885,M
1027,961,M
1044,996,M
917,838,S
917,752,XS
924,775,S
994,809,S
1001,862,M
1069,1027,L
995,797,S
1104,1082,L
